"property-thumbnail-summary-link href","property-thumbnail-summary-link src","btn","description","price","category","address","address 2","cac","sdb"
"https://www.centris.ca/fr/duplex~a-vendre~montreal-montreal-nord/24359714","https://mspublic.centris.ca/media.ashx?id=ADDD250DE014B19DDDDDDDDDDE&t=pi&w=320&h=240&sm=c","35","24359714","590 000 $","Duplex à vendre","10904 - 10904A, Avenue Lausanne","Montréal (Montréal-Nord)","3","1"
"https://www.centris.ca/fr/triplex~a-vendre~montreal-cote-des-neiges-notre-dame-de-grace/27464023","https://mspublic.centris.ca/media.ashx?id=ADDD250DE0A550FDDDDDDDDDDF&t=pi&w=320&h=240&sm=c","19","27464023","999 000 $","Triplex à vendre","5271 - 5275, Avenue Rosedale","Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce)","3","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/13224849","https://mspublic.centris.ca/media.ashx?id=ADDD250DEE9612BDDDDDDDDDDE&t=pi&w=320&h=240&sm=c","32","13224849","329 000 $","Condo à vendre","101, Rue Peel, app. 2059","Montréal (Le Sud-Ouest)","","1"
"https://www.centris.ca/fr/duplex~a-vendre~montreal-cote-des-neiges-notre-dame-de-grace/16638727","https://mspublic.centris.ca/media.ashx?id=ADDD250DEF1B228DDDDDDDDDDF&t=pi&w=320&h=240&sm=c","32","16638727","825 000 $","Duplex à vendre","2471 - 2473, Avenue Benny","Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce)","2","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-mercier-hochelaga-maisonneuve/24014355","https://mspublic.centris.ca/media.ashx?id=ADDD250DEF48B7EDDDDDDDDDDB&t=pi&w=320&h=240&sm=c","19","24014355","259 000 $","Condo à vendre","7700, Rue de Lavaltrie, app. 301","Montréal (Mercier/Hochelaga-Maisonneuve)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-villeray-saint-michel-parc-extension/19156783","https://mspublic.centris.ca/media.ashx?id=ADDD250DE0F0E5DDDDDDDDDDD0&t=pi&w=320&h=240&sm=c","25","19156783","599 000 $","Condo à vendre","901, Avenue Beaumont, app. 313","Montréal (Villeray/Saint-Michel/Parc-Extension)","2","2"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/23569236","https://mspublic.centris.ca/media.ashx?id=ADDD250DEA2561BDDDDDDDDDDF&t=pi&w=320&h=240&sm=c","28","23569236","269 900 $","Condo à vendre","1150, boulevard René-Lévesque Est, app. 921","Montréal (Ville-Marie)","","1"
"https://www.centris.ca/fr/quintuplex~a-vendre~montreal-mercier-hochelaga-maisonneuve/23427704","https://mspublic.centris.ca/media.ashx?id=ADDD250DEBD4C23DDDDDDDDDDE&t=pi&w=320&h=240&sm=c","25","23427704","2 000 000 $","Quintuplex à vendre","2877 - 2887, Rue Des Ormeaux","Montréal (Mercier/Hochelaga-Maisonneuve)","2","1"
"https://www.centris.ca/fr/loft-studio~a-vendre~montreal-saint-leonard/17469880","https://mspublic.centris.ca/media.ashx?id=ADDD250DE0EC3EADDDDDDDDDDE&t=pi&w=320&h=240&sm=c","14","17469880","249 000 $","Loft / Studio à vendre","7705, Rue du Mans, app. 1410","Montréal (Saint-Léonard)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/11061482","https://mspublic.centris.ca/media.ashx?id=ADDD250DEE5A5FBDDDDDDDDDDB&t=pi&w=320&h=240&sm=c","36","11061482","434 007 $","Condo à vendre","1020, Rue de la Montagne, app. 3404","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/duplex~a-vendre~montreal-villeray-saint-michel-parc-extension/11784074","https://mspublic.centris.ca/media.ashx?id=ADDD250DECF20ADDDDDDDDDDD0&t=pi&w=320&h=240&sm=c","14","11784074","818 000 $","Duplex à vendre","2587 - 2589, Rue Jean-Talon Est","Montréal (Villeray/Saint-Michel/Parc-Extension)","3","1"
"https://www.centris.ca/fr/triplex~a-vendre~montreal-pierrefonds-roxboro/24176060","https://mspublic.centris.ca/media.ashx?id=ADDD250DE05D34DDDDDDDDDDDB&t=pi&w=320&h=240&sm=c","30","24176060","1 150 000 $","Triplex à vendre","4334 - 4338, Rue Kimber","Montréal (Pierrefonds-Roxboro)","3","2"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/23836241","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB6D611DDDDDDDDDD4&t=pi&w=320&h=240&sm=c","25","23836241","760 900 $","Condo à vendre","720, Rue Saint-Jacques, app. 3107","Montréal (Ville-Marie)","2","2"
"https://www.centris.ca/fr/condo~a-vendre~montreal-saint-laurent/17041093","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB9C8CCDDDDDDDDDD2&t=pi&w=320&h=240&sm=c","26","17041093","649 900 $","Condo à vendre","993, Rue Tait","Montréal (Saint-Laurent)","3","2"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/16320813","https://mspublic.centris.ca/media.ashx?id=ADDD250DEBB5A27DDDDDDDDDD2&t=pi&w=320&h=240&sm=c","27","16320813","539 000 $","Condo à vendre ou à louer","1239, Rue Drummond, app. 1907","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/quadruplex~a-vendre~montreal-villeray-saint-michel-parc-extension/20398466","https://mspublic.centris.ca/media.ashx?id=ADDD250DE00BB6EDDDDDDDDDDE&t=pi&w=320&h=240&sm=c","21","20398466","997 000 $","Quadruplex à vendre","8537, Avenue Wiseman","Montréal (Villeray/Saint-Michel/Parc-Extension)","2","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/24150197","https://mspublic.centris.ca/media.ashx?id=ADDD250DE007D09DDDDDDDDDDA&t=pi&w=320&h=240&sm=c","54","24150197","549 000 $","Condo à vendre","1205, Place Phillips, app. 2708","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/maison~a-vendre~montreal-ahuntsic-cartierville/12141946","https://mspublic.centris.ca/media.ashx?id=ADDD250DEF1A243DDDDDDDDDDF&t=pi&w=320&h=240&sm=c","10","12141946","488 999 $","Maison à vendre","11849, boulevard O'Brien","Montréal (Ahuntsic-Cartierville)","3","1"
"https://www.centris.ca/fr/triplex~a-vendre~montreal-le-plateau-mont-royal/13341003","https://mspublic.centris.ca/media.ashx?id=ADDD250DEFE1465DDDDDDDDDDB&t=pi&w=320&h=240&sm=c","29","13341003","1 125 000 $","Triplex à vendre","15 - 19, Rue Villeneuve Ouest","Montréal (Le Plateau-Mont-Royal)","3","1"
"https://www.centris.ca/fr/triplex~a-vendre~montreal-villeray-saint-michel-parc-extension/23350242","https://mspublic.centris.ca/media.ashx?id=ADDD250DEBE3A56DDDDDDDDDDD&t=pi&w=320&h=240&sm=c","18","23350242","835 000 $","Triplex à vendre","8246 - 8250, 10e Avenue","Montréal (Villeray/Saint-Michel/Parc-Extension)","1","1"
"https://www.centris.ca/fr/loft-studio~a-vendre~montreal-ville-marie/18447073","https://mspublic.centris.ca/media.ashx?id=ADDD250DEE966CADDDDDDDDDDE&t=pi&w=320&h=240&sm=c","17","18447073","285 000 $","Loft / Studio à vendre","1220, boulevard René-Lévesque Est, app. 803","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/12939318","https://mspublic.centris.ca/media.ashx?id=ADDD250DEA441C0DDDDDDDDDDD&t=pi&w=320&h=240&sm=c","22","12939318","379 000 $","Condo à vendre","2180, Rue Sainte-Catherine Est, app. 525","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/15890113","https://mspublic.centris.ca/media.ashx?id=ADDD250DEE77AECDDDDDDDDDDA&t=pi&w=320&h=240&sm=c","25","15890113","799 000 $","Condo à vendre","1205, Place Phillips, app. 4604","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/12432500","https://mspublic.centris.ca/media.ashx?id=ADDD250DE037696DDDDDDDDDDA&t=pi&w=320&h=240&sm=c","17","12432500","499 000 $","Condo à vendre","221, Rue Saint-Jacques, app. 804","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-lasalle/13959335","https://mspublic.centris.ca/media.ashx?id=ADDD250DEA7FFBDDDDDDDDDDDF&t=pi&w=320&h=240&sm=c","19","13959335","399 000 $","Condo à vendre","6900, boulevard Newman, app. 503","Montréal (LaSalle)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/10507441","https://mspublic.centris.ca/media.ashx?id=ADDD250DE02B5DCDDDDDDDDDD1&t=pi&w=320&h=240&sm=c","51","10507441","454 900 $","Condo à vendre","360, Rue Mayor, app. 506","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/15990170","https://mspublic.centris.ca/media.ashx?id=ADDD250DEE5D70FDDDDDDDDDDF&t=pi&w=320&h=240&sm=c","40","15990170","438 000 $","Condo à vendre","1188, Rue Saint-Antoine Ouest, app. 304","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/quintuplex~a-vendre~montreal-le-plateau-mont-royal/22762953","https://mspublic.centris.ca/media.ashx?id=ADDD250DEA66F28DDDDDDDDDD0&t=pi&w=320&h=240&sm=c","17","22762953","1 790 000 $","Quintuplex à vendre","4248 - 4252A, Rue Saint-Urbain","Montréal (Le Plateau-Mont-Royal)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-le-plateau-mont-royal/22616535","https://mspublic.centris.ca/media.ashx?id=ADDD250DEF4A7E3DDDDDDDDDDF&t=pi&w=320&h=240&sm=c","29","22616535","365 000 $","Condo à vendre","3835, Avenue de l'Hôtel-de-Ville, app. 2","Montréal (Le Plateau-Mont-Royal)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-le-plateau-mont-royal/18895014","https://mspublic.centris.ca/media.ashx?id=ADDD250DEBC40E5DDDDDDDDDDE&t=pi&w=320&h=240&sm=c","27","18895014","468 000 $","Condo à vendre","1351, Rue Saint-Grégoire, app. 205","Montréal (Le Plateau-Mont-Royal)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/23474062","https://mspublic.centris.ca/media.ashx?id=ADDD250DE07BD81DDDDDDDDDDD&t=pi&w=320&h=240&sm=c","17","23474062","339 000 $","Condo à vendre","1212, Rue Bishop, app. 408","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/9179460","https://mspublic.centris.ca/media.ashx?id=ADDD250DEAC15EEDDDDDDDDDDD&t=pi&w=320&h=240&sm=c","37","9179460","498 000 $","Condo à vendre","1201, Rue Jeanne-Mance, app. 4915","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/21253928","https://mspublic.centris.ca/media.ashx?id=ADDD250DECF163BDDDDDDDDDD4&t=pi&w=320&h=240&sm=c","19","21253928","509 900 $","Condo à vendre","1500, boulevard René-Lévesque Ouest, app. 1105","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/26948378","https://mspublic.centris.ca/media.ashx?id=ADDD250DE0C4486DDDDDDDDDD4&t=pi&w=320&h=240&sm=c","33","26948378","479 000 $","Condo à vendre","389, Rue Saint-Paul Ouest, app. 403","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-le-plateau-mont-royal/12187845","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB89C6CDDDDDDDDDD1&t=pi&w=320&h=240&sm=c","13","12187845","365 000 $","Condo à vendre","5334, Avenue du Parc, app. 202","Montréal (Le Plateau-Mont-Royal)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-lasalle/14657754","https://mspublic.centris.ca/media.ashx?id=ADDD250DEBBD008DDDDDDDDDDE&t=pi&w=320&h=240&sm=c","10","14657754","369 000 $","Condo à vendre","1700, Rue Viola-Desmond, app. 907","Montréal (LaSalle)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/25123822","https://mspublic.centris.ca/media.ashx?id=ADDD250DEAC5C86DDDDDDDDDD4&t=pi&w=320&h=240&sm=c","29","25123822","390 000 $","Condo à vendre","1400, Rue Ottawa, app. 102B","Montréal (Le Sud-Ouest)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/26887581","https://mspublic.centris.ca/media.ashx?id=ADDD250DEA3C7F9DDDDDDDDDDC&t=pi&w=320&h=240&sm=c","16","26887581","389 500 $","Condo à vendre","1, Avenue Viger Ouest, app. 407","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/25232115","https://mspublic.centris.ca/media.ashx?id=ADDD250DEA72121DDDDDDDDDD1&t=pi&w=320&h=240&sm=c","30","25232115","379 900 $","Condo à vendre","1150, boulevard René-Lévesque Est, app. 1117","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-anjou/22728618","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB95206DDDDDDDDDD0&t=pi&w=320&h=240&sm=c","30","22728618","330 000 $","Condo à vendre","7200, Avenue M.-B.-Jodoin, app. 506","Montréal (Anjou)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/27658016","https://mspublic.centris.ca/media.ashx?id=ADDD250DEC367EFDDDDDDDDDD0&t=pi&w=320&h=240&sm=c","24","27658016","344 000 $","Condo à vendre","3470, Rue Simpson, app. 602","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/loft-studio~a-vendre~montreal-rosemont-la-petite-patrie/13554275","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB7B771DDDDDDDDDD4&t=pi&w=320&h=240&sm=c","16","13554275","259 000 $","Loft / Studio à vendre","4446, Rue Bélanger, app. 8","Montréal (Rosemont/La Petite-Patrie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/16841656","https://mspublic.centris.ca/media.ashx?id=ADDD250DEBE4DB6DDDDDDDDDD2&t=pi&w=320&h=240&sm=c","38","16841656","565 000 $","Condo à vendre","50, Rue des Soeurs-Grises, app. 302","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/16843369","https://mspublic.centris.ca/media.ashx?id=ADDD250DEA326C4DDDDDDDDDDE&t=pi&w=320&h=240&sm=c","22","16843369","595 000 $","Condo à vendre","1188, Avenue Union, app. 2706","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/18169216","https://mspublic.centris.ca/media.ashx?id=ADDD250DE218919DDDDDDDDDDA&t=pi&w=320&h=240&sm=c","23","18169216","459 000 $","Condo à vendre","1414, Rue Chomedey, app. 951","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/9851980","https://mspublic.centris.ca/media.ashx?id=ADDD250DEEC04EBDDDDDDDDDDF&t=pi&w=320&h=240&sm=c","8","9851980","429 000 $","Condo à vendre","2100, boulevard Saint-Laurent, app. 706","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/14683461","https://mspublic.centris.ca/media.ashx?id=ADDD250DE222385DDDDDDDDDDE&t=pi&w=320&h=240&sm=c","31","14683461","513 000 $","Condo à vendre","720, Rue Saint-Jacques, app. 4910","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ahuntsic-cartierville/23534700","https://mspublic.centris.ca/media.ashx?id=ADDD250DC6A7467DDDDDDDDDD0&t=pi&w=320&h=240&sm=c","14","23534700","472 500 $","Condo à vendre","10490, Rue Lajeunesse, app. 302","Montréal (Ahuntsic-Cartierville)","1","1"
"https://www.centris.ca/fr/triplex~a-vendre~montreal-rosemont-la-petite-patrie/22973780","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB24721DDDDDDDDDDC&t=pi&w=320&h=240&sm=c","40","22973780","798 000 $","Triplex à vendre","5541, 9e Avenue","Montréal (Rosemont/La Petite-Patrie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-mercier-hochelaga-maisonneuve/26987296","https://mspublic.centris.ca/media.ashx?id=ADDD250DEA341FFDDDDDDDDDDE&t=pi&w=320&h=240&sm=c","15","26987296","327 375 $","Condo à vendre","3045 - 3055, boulevard de l'Assomption, app. 523","Montréal (Mercier/Hochelaga-Maisonneuve)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/15302054","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB65EA0DDDDDDDDDD0&t=pi&w=320&h=240&sm=c","40","15302054","545 000 $","Condo à vendre","360, Rue Atateken, app. 702","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-cote-des-neiges-notre-dame-de-grace/20612667","https://mspublic.centris.ca/media.ashx?id=ADDD250DEE6FF9CDDDDDDDDDDE&t=pi&w=320&h=240&sm=c","18","20612667","259 000 $","Condo à vendre","3375, Avenue Ridgewood, app. 320","Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/18616254","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB6EA70DDDDDDDDDDE&t=pi&w=320&h=240&sm=c","21","18616254","539 000 $","Condo à vendre","1300, boulevard René-Lévesque Ouest, app. 507","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/22617814","https://mspublic.centris.ca/media.ashx?id=ADDD250DEA63859DDDDDDDDDD4&t=pi&w=320&h=240&sm=c","25","22617814","460 000 $","Condo à vendre","705, Rue William, app. 809","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/15929398","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB85CCADDDDDDDDDDB&t=pi&w=320&h=240&sm=c","40","15929398","535 000 $","Condo à vendre ou à louer","1245, Rue De Bleury, app. 5110","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-ville-marie/11127400","https://mspublic.centris.ca/media.ashx?id=ADDD250DEB8897EDDDDDDDDDD4&t=pi&w=320&h=240&sm=c","25","11127400","425 000 $","Condo à vendre","1455, Rue Sherbrooke Ouest, app. 1701","Montréal (Ville-Marie)","1","1"
"https://www.centris.ca/fr/triplex~a-vendre~montreal-le-plateau-mont-royal/16191476","https://mspublic.centris.ca/media.ashx?id=ADDD250DE06B1A0DDDDDDDDDDF&t=pi&w=320&h=240&sm=c","45","16191476","1 145 000 $","Triplex à vendre","3558 - 3560, Rue De Bullion","Montréal (Le Plateau-Mont-Royal)","1","1"
"https://www.centris.ca/fr/condo~a-vendre~montreal-le-sud-ouest/24556130","https://mspublic.centris.ca/media.ashx?id=ADDD250DEA854BEDDDDDDDDDD0&t=pi&w=320&h=240&sm=c","16","24556130","475 000 $","Condo à vendre","1045, Rue Wellington, app. 1904","Montréal (Le Sud-Ouest)","1","1"
